site_no,station_nm,latitude,longitude,state_cd,county_cd,huc_cd,huc_code,huc_region,drainage_area,site_type,active,basin,is_huc17,has_discharge
09286500,"RED CREEK NR FRUITLAND, UTAH",40.2013428,-110.7840484,UT,013,14060004,14060004,14,89.00,ST,Yes,Southwest,False,True
09286700,"CURRANT CRK BLW CURRANT CRK DAM, NR FRUITLAND, UT",40.33078385,-111.0496107,UT,051,14060004,14060004,14,48.00,ST,Yes,Southwest,False,True
09287000,"CURRANT C BL RED LEDGE HOLLOW NR FRUITLAND, UT",40.3241173,-111.0459995,UT,051,14060004,14060004,14,50.10,ST,Yes,Southwest,False,True
09287500,"WATER HOLLOW NR FRUITLAND, UTAH",40.2416191,-110.9807197,UT,051,14060004,14060004,14,13.80,ST,Yes,Southwest,False,True
09288000,"CURRANT CREEK NEAR FRUITLAND, UT",40.20023128,-110.9076623,UT,051,14060004,14060004,14,140,ST,Yes,Southwest,False,True
09288100,"RED CREEK BELOW CURRANT CREEK, NEAR FRUITLAND, U",40.14634437,-110.7532135,UT,013,14060004,14060004,14,297.00,ST,Yes,Southwest,False,True
09288150,"W F AVINTAQUIN CREEK NR FRUITLAND, UTAH",39.9930144,-110.8148798,UT,013,14060004,14060004,14,56.10,ST,Yes,Southwest,False,True
09288180,"STRAWBERRY RIVER NEAR DUCHESNE, UT",40.1546793,-110.5548785,UT,013,14060004,14060004,14,917,ST,Yes,Southwest,False,True
09288400,"STRAWBERRY R BLW STARVATION RES NR DUCHESNE, UT",40.17384647,-110.4295999,UT,013,14060004,14060004,14,1059.00,ST,Yes,Southwest,False,True
09288500,"STRAWBERRY RIVER AT DUCHESNE, UTAH",40.16106914,-110.4118219,UT,013,14060004,14060004,14,1066.0,ST,Yes,Southwest,False,True
09288900,"SOWERS CREEK NEAR DUCHESNE, UTAH",39.9894064,-110.4598762,UT,013,14060003,14060003,14,40.60,ST,Yes,Southwest,False,True
09289000,"ANTELOPE CREEK NEAR MYTON, UTAH",40.13607105,-110.209042,UT,013,14060003,14060003,14,198.00,ST,Yes,Southwest,False,True
09289500,"LAKE FORK RIVER AB MOON LAKE, NR MOUNTAIN HOME, UT",40.60252778,-110.5205,UT,013,14060003,14060003,14,77.9,ST,Yes,Southwest,False,True
09290000,"BROWN DUCK CREEK NEAR MOUNTAIN HOME, UTAH",40.5749462,-110.5173839,UT,013,14060003,14060003,14,,ST,Yes,Southwest,False,True
09291000,"LAKE FORK RIVER BL MOON LAKE NR MOUNTAIN HOME, UT",40.55633555,-110.4846056,UT,013,14060003,14060003,14,112,ST,Yes,Southwest,False,True
09291200,"LAKE FORK R BL TASKEECH DAMSITE NR MT HOME, UT",40.501337,-110.4054383,UT,013,14060003,14060003,14,138.00,ST,Yes,Southwest,False,True
09291500,"YELLOWSTONE CR. BELOW SWIFT CR.,NR ALTONAH,UT.",40.59716926,-110.3479376,UT,013,14060003,14060003,14,99.00,ST,Yes,Southwest,False,True
09292000,"YELLOWSTONE R @ BRIDGE CMPGRND NR ALTONAH, UT",40.5463369,-110.333771,UT,013,14060003,14060003,14,114,ST,Yes,Southwest,False,True
09292500,"YELLOWSTONE RIVER NEAR ALTONAH, UT",40.51189299,-110.3415491,UT,013,14060003,14060003,14,132,ST,Yes,Southwest,False,True
09293000,"YELLOWSTONE RIVER @ MOUTH NR ALTONAH, UT",40.4441169,-110.3640482,UT,013,14060003,14060003,14,142.00,ST,Yes,Southwest,False,True
09293500,"LAKE FORK RIVER NR ALTONAH, UT.",40.4368949,-110.3643258,UT,013,14060003,14060003,14,304.00,ST,Yes,Southwest,False,True
09293600,"LAKE FORK RIVER NEAR ALTAMONT, UTAH",40.35773117,-110.3134906,UT,013,14060003,14060003,14,318.00,ST,Yes,Southwest,False,True
09293700,"PIGEON WATER CREEK NEAR ALTAMONT, UTAH",40.31051058,-110.294045,UT,013,14060003,14060003,14,95.50,ST,Yes,Southwest,False,True
09294000,"LAKE FORK RIVER NEAR UPALCO, UTAH",40.2582906,-110.2223761,UT,013,14060003,14060003,14,427.00,ST,Yes,Southwest,False,True
09294500,"LAKE FORK RIVER NEAR MYTON, UT",40.20844444,-110.11736111,UT,013,140600030806,140600030806,14,484.0,ST,Yes,Southwest,False,True
09295000,"DUCHESNE RIVER AT MYTON, UT",40.20023757,-110.0637613,UT,013,14060003,14060003,14,2643,ST,Yes,Southwest,False,True
09295100,"DUCHESNE RIV ABV UINTA RIV, NR RANDLETT, UT",40.2066278,-109.8598673,UT,047,14060003,14060003,14,2710,ST,Yes,Southwest,False,True
